PRODUCTO,COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,COD_VALIDO
Exportaciones Trimestrales por Entidad Federativa,PROD_EST,"Nombre del proyecto estadístico al que pertenecen los datos, en este caso aplica la denominación Exportaciones Trimestrales por Entidad Federativa. Entidad y Subsector.",varchar,250,
Exportaciones Trimestrales por Entidad Federativa,COBERTURA,Área geográfica a la que están referidos los indicadores estadísticos.,varchar,30,Estatal
Exportaciones Trimestrales por Entidad Federativa,ANIO,Año de referencia de la información.,varchar,4,2007-2023
Exportaciones Trimestrales por Entidad Federativa,MES,Identificador del mes o meses de referencia de la información.,varchar,5,"01-03, 04-06, 07-09, 10-12"
Exportaciones Trimestrales por Entidad Federativa,TRIMESTRE,"Identificador del trimestre al que hace referencia la información (I=Primer trimestre, II=Segundo trimestre, III=Tercer trimestre, IV=Cuarto trimestre).",varchar,3,"I,II,III,IV"
Exportaciones Trimestrales por Entidad Federativa,E03,"Clave de la entidad según Catálogo de Entidades, Municipios y Localidades del INEGI.",varchar,2,00-33
Exportaciones Trimestrales por Entidad Federativa,CODIGO_SCIAN,"Se refiere a la clave asignada a la unidad económica de acuerdo con el Sistema de Clasificación Industrial de América del Norte (SCIAN) 2007, corresponde de manera específica con el tipo de actividad y productos reportados por la unidad económica.",varchar,3,"000, 111, 112,114, 211, 212, 311, 312, 313, 314, 315, 316, 321, 322, 323, 324, 325, 326, 327, 331, 332, 333, 334, 335, 336, 337, 339"
Exportaciones Trimestrales por Entidad Federativa,VAL_USD,"Es el valor de venta expresado en miles de dólares estadounidenses de las mercancías valoradas en término FOB (Free on Board), se refiere al valor de las mercancías colocadas en la frontera o puerto del país exportador, incluye el valor de transacción de los bienes y de los servicios suministrados para entregar las mercancías en la frontera del país exportador.",int,,0-9999999
Exportaciones Trimestrales por Entidad Federativa,ESTATUS_CIFRA,"Estatus de la cifra en la que se encuentra el registro puede ser Disponible, No Disponible, Confidencial, No Aplica o No Significativo.",varchar,19,"Disponible, No Disponible, No Aplica, Confidencial, No Significativo"
Exportaciones Trimestrales por Entidad Federativa,ESTATUS,Estatus de las cifras conforme a los Lineamientos de Cambios a la información divulgada en las publicaciones estadísticas y geográficas del INEGI.,varchar,20,"Cifras Definitivas, Cifras Preliminares, Cifras Revisadas"
